"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"ont pu faire front commun#i-positive";"1";"1";"1";"avoir pouvoir faire front commun";"V V V N G";"ont#566 pu#17 faire#238 front#22 commun#46"
"a suscité de nombreuses réactions#d-negative";"1";"1";"1";"avoir susciter un nombreux réaction";"V V D G N";"a#2702 suscité#18 de#8089 nombreuses#27 réactions#15"
"recevra un soutien européen réduit#i-negative";"1";"1";"1";"recevoir un soutien européen réduire";"V D N G V";"recevra#5 un#2096 soutien#48 européen#287 réduit#7"
"prendra fin de façon harmonieuse#i-positive";"1";"1";"1";"prendre fin de façon harmonieux";"V N P N G";"prendra#7 fin#121 de#8089 façon#26 harmonieuse#1"
"a livré un discours offensif#d-negative";"1";"1";"1";"avoir livrer un discours offensif";"V V D N G";"a#2702 livré#2 un#2096 discours#50 offensif#4"
"sous le feu des critiques#d-strongnegative";"0";"1";"2";"sous le feu un critique";"P D N D N";"sous#104 le#4156 feu#20 des#2546 critiques#28"
"mémoires et dans l' histoire#d-strongpositive";"0";"1";"3";"mémoire et dans le histoire";"N C P D N";"mémoires#9 et#2810 dans#1181 l'#3450 histoire#49"
"confirme sa volonté d' armer#d-positive";"0";"1";"2";"confirmer son volonté d' armer";"V D N P V";"confirme#6 sa#360 volonté#37 d'#2042 armer#7"
"l' une des plus inégalitaires#d-strongnegative";"0";"1";"2";"le une des plus inégalitaires";"D P P D N";"l'#3450 une#1869 des#2546 plus#694 inégalitaires#2"
"devra assumer ses propres responsabilités#i-negative";"0";"1";"2";"devoir assumer son propre responsabilité";"V V D G N";"devra#21 assumer#6 ses#358 propres#12 responsabilités#16"
"ne va pas du tout#d-strongnegative";"0";"1";"2";"ne aller pas du tout";"G V G D N";"ne#712 va#110 pas#968 du#1788 tout#254"
